ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
VHM,2017,0,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,15297312397,10130622531,5166689866,-688149109,-243283154,2108782049,1565489060,1409642044,44421050167,51303819026,34223057193,41180033530,10123785496
VHM,2018,0,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,38664328194,28603257862,10061070332,12108092700,-6689941,19718734148,14776319245,14284453167,91202543546,119688756468,42872273595,71543881481,48144874987
VHM,2019,0,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,51626931000,24171323000,27455608000,6496960000,30220000,29745694000,24319100000,21747376000,139555054000,197241028000,121556854000,132525985000,64715043000
VHM,2020,0,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,71546737000,45610660000,25936077000,16225531000,-789004000,36516837000,28206540000,27351280000,102312109000,215326377000,103385277000,126196462000,89129915000
VHM,2020,2,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,16377455000,9922859000,6454596000,306034000,-888406000,5030414000,3800763000,3758480000,144808666000,225577738000,125228224000,149424305000,76153433000
VHM,2020,3,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,26482588000,17367779000,9114809000,-85098000,49304000,7502478000,6146258000,6058321000,141229902000,220509139000,118476910000,141731332000,78777807000
VHM,2020,4,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,21512001000,14213763000,7298238000,8985616000,181980000,14847718000,11559552000,11502494000,102010303000,214937493000,101308749000,125252007000,89685486000
VHM,2021,1,3349513918,3289513918,321385.51,2021-05-12 21:53:32,2021-05-12 21:53:32,12986441000,6774097000,6212344000,1946455000,30533000,7084991000,5477762000,5396149000,94043347000,207714674000,93266933000,113109997000,94604677000
