ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
FPT,2017,0,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,43298396302,32976206157,9682404685,982228143,35165712,4255117778,3528113914,2931530863,16059937821,24999676896,11100344739,11761300662,13238376234
FPT,2018,0,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,23259126277,14490657872,8722878985,239046744,57771400,3857602555,3233997141,2620178632,18406087226,29757067150,14451149991,14982096384,14774970765
FPT,2019,0,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,27791982177,17004910529,10712049623,58108491,54657348,4664530512,3911712167,3135350377,18979176129,33394164264,16102256902,16594874863,16799289401
FPT,2020,0,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,29921698144,18016743052,11813657475,273731213,72802166,5263456630,4423745218,3538007739,25612489545,41734323235,22364710510,23128655834,18605667401
FPT,2020,2,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,6997263489,4258247824,2721754674,96082854,17450599,1285493108,1084221988,878710518,20974738295,35912808664,16991794635,18009082671,17903725993
FPT,2020,3,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,7578691043,4554350312,2998778192,109288682,16476505,1385878972,1148631372,928887801,22473334313,37757456671,18551811882,19576055665,18181401006
FPT,2020,4,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,8700729240,5195783663,3470920950,71065717,24121679,1447320040,1252588702,982843692,25608346381,41749437163,22382164623,23146723671,18602713492
FPT,2021,1,783987486,789114878,67390.41,2021-05-12 21:47:29,2021-05-12 21:47:29,7605674679,4691800715,2894526955,184303430,16713720,1396751211,1150702624,906142681,27905525241,44474278410,22968032692,24743977982,19730300428
