ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
REE,2017,0,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,4999235437,3565774556,1429398860,-100239383,9475147,1721146988,1522825181,1377087392,5651352048,14294667349,2926952956,5601390148,8693277201
REE,2018,0,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,5104605853,3872581352,1228073645,192054047,12355201,2118013070,1884758639,1783971853,5987684470,15499663108,3056518124,5571294774,9928368334
REE,2019,0,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,4896700914,3643618854,1246212971,56315674,10528925,1920209998,1719924371,1638893523,5999047688,19622764796,3268741496,8521096256,11101668539
REE,2020,0,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,5644088890,4033887057,1605865669,-252719659,22113001,1923585473,1713501779,1628076209,6008633766,20530453735,3443435068,8317804815,12212648920
REE,2020,2,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,1289756573,896134285,393422388,-50963205,2869559,462269877,403409686,373760927,6004331757,19769718789,3365453846,8586445964,11183272825
REE,2020,3,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,1504303153,1078539108,425048469,-95546506,9292744,420934714,367599987,347012755,5809082340,19810981951,2944631973,8224627796,11586354156
REE,2020,4,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,1666261171,1208509788,457337872,-43261040,8304076,723773453,664237282,651249072,6013639107,20536416327,3435673618,8323794443,12212621884
REE,2021,1,310058841,309050926,17090.52,2021-05-12 21:51:22,2021-05-12 21:51:22,1185473543,746519130,436333266,16967767,1413066,538491857,471790341,415811685,5968812897,20817328776,3127228400,8189844112,12627484664
