ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
KDH,2017,0,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,3061083503,2019002526,1035809411,-52733168,-18811544,729036217,558889933,502251041,9110239373,9716622302,1817408931,3525725132,6190897170
KDH,2018,0,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,2920026535,1677391701,1239203722,111153645,-21458127,1075501559,809593240,808078193,9570063085,10227894681,2775104328,3328395397,6899499284
KDH,2019,0,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,2844774366,1312924322,1500429106,-157601,-32756210,1189840157,916876662,915232845,12326995869,13237325073,4571654220,5572964711,7664360362
KDH,2020,0,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,4616848433,2568451212,1963617307,-49697675,-39105815,1458408134,1154467461,1152765513,13021590958,13934472240,4207932830,5776372073,8158100167
KDH,2020,2,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,813004611,368326538,416515351,-13086414,-5507610,322692913,253649617,253292122,13601546534,14508115782,5454759054,6937202259,7570913523
KDH,2020,3,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,1759848681,1211037414,544080847,-7125866,-7004940,469636317,362119013,361557790,13797105238,14717508044,5205187455,6942441102,7775066942
KDH,2020,4,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,1310133627,623176763,667855739,-7788549,-16755424,460211064,383099733,382576223,12976226155,13888015067,4156542704,5730258393,8157756674
KDH,2021,1,578657219,550806579,20434.92,2021-05-12 21:48:47,2021-05-12 21:48:47,873772240,478240883,358238010,-11633202,-6989082,268254644,206696005,205148685,12626411109,13550810382,3325561885,5186924355,8363886027
