ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
MSN,2017,0,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,38980236000,25988836000,11631810000,-2290924000,-43250000,4138637000,3607690000,3102664000,15144937000,63528522000,15532987000,43303327000,20225195000
MSN,2018,0,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,39378747000,26306208000,11881409000,-1189121000,-33163000,6243824000,5621505000,4916497000,12499618000,64578613000,15795515000,30498935000,34079678000
MSN,2019,0,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,38818747000,26412939000,10941148000,-1012379000,1092214000,7105090000,6364615000,5557571000,24261892000,97297251000,30492191000,45408844000,51888407000
MSN,2020,0,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,78868319000,59329111000,17888697000,-3126008000,1129065000,2324839000,1395013000,1233982000,29760685000,115736562000,38874663000,90706283000,25030279000
MSN,2020,2,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,18149931000,13871798000,3894584000,-98281000,-13194000,311395000,54408000,195362000,24716045000,105003862000,37243199000,73785579000,31218283000
MSN,2020,3,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,20614349000,15396469000,4817839000,-1118538000,890382000,1100402000,972565000,851502000,25574944000,109264560000,37457587000,80668824000,28595736000
MSN,2020,4,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,22100147000,16384772000,5214759000,-1243202000,227294000,973297000,584393000,265226000,29760685000,115736562000,38874663000,90706283000,25030279000
MSN,2021,1,1174683246,1174683246,122167.06,2021-05-12 21:49:17,2021-05-12 21:49:17,20320723000,15662741000,4314120000,-1166461000,23752000,487053000,342731000,187370000,31327888000,116266529000,37773997000,90861428000,25405101000
