ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
NVL,2017,0,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,11759393956,8375505075,3256830954,233214623,20860171,2588499024,2061643232,2033481810,41165965854,49466961992,22658196188,36210571489,13256390503
NVL,2018,0,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,15635421289,10132440436,5157953472,-633511281,-3397893,4675374769,3267070189,3227004714,50860944465,69912213164,27969394567,49452086678,20460126486
NVL,2019,0,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,11026232998,7779325178,3151657934,-1057606059,3679850839,4272235676,3387322102,3431331162,71194821173,89979242599,18809633988,65518168767,24461073832
NVL,2020,0,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,5241732045,3193479439,1832878970,4673069229,-400168979,4649022346,3906501580,3919071634,114203561614,144536345634,31427343627,112604198448,31932147186
NVL,2020,2,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,792451607,492499814,217126697,1442221179,-295104597,997519714,874550057,890813962,76671001797,98779722792,21798416852,74212578644,24567144149
NVL,2020,3,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,2148169245,1342965171,796580169,1848930418,52692751,2362553256,2120532441,2131427409,103086310873,129388520441,25268019195,98188831139,31199689302
NVL,2020,4,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,1233503916,794538482,428430464,911529469,-85285788,776609763,586170591,552092589,114312818132,144519388784,31432855703,112609909291,31909479493
NVL,2021,1,1067156740,1154484504,150082.99,2021-05-12 21:50:10,2021-05-12 21:50:10,4541864523,2789464202,1717152585,118073939,-114845969,1261022887,701224971,536826506,121615274985,153666254234,35418652060,115907333666,37758920568
