ticker_id,year,quarter,klcp_niem_yiet,klcp_luu_hanh,von_hoa_thi_truong,created_date,last_updated,doanh_thu_thuan,gia_von,loi_nhuan_gop,loi_nhuan_tai_chinh,loi_nhuan_khac,tong_loi_nhuan_truoc_thue,loi_nhuan_sau_thue,loi_nhuan_sau_thue_cty_me,tong_tai_san_ngan_han,tong_tai_san,no_ngan_han,tong_no,von_chu_so_huu
TCH,2017,0,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,1844419176,1348860162,491385769,19662525,-829594,536094226,438695984,438616272,1563320941,4856399211,146051867,491263070,4365136141
TCH,2018,0,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,829649055,577089287,251736848,35454618,7829528,333697785,282897380,282282407,2143006371,6309953445,761806203,1820998401,4488955044
TCH,2019,0,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,2237104342,1496020208,741084134,35527652,4004248,770760224,631904986,631379095,5905037262,8656398785,2848112440,3935643596,4720755189
TCH,2020,0,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,4423314435,3258179488,1161241311,214898015,7536693,1278128625,1035361278,905842426,9200400156,10369637644,1131575537,1509651520,8859986124
TCH,2020,1,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,1172137318,965605638,206531680,66996207,1974954,261886046,219335689,212023243,7272328856,10267595331,2998538047,4089869262,6177726069
TCH,2020,2,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,1936688966,1389709831,546979135,36328615,318601,546000410,439854059,393967248,7627642219,10187637773,2038133471,3056587129,7131050645
TCH,2020,3,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,692979476,507529049,182482246,44095763,4102902,203315569,161289885,119560532,9810614370,10990080136,2008241131,2686860874,8303219261
TCH,2020,4,362994014,374437834,8349.96,2021-05-12 21:52:54,2021-05-12 21:52:54,621508675,395334970,225248251,68860648,1140236,258309819,206264862,171674506,9200400156,10369637644,1131575537,1509651520,8859986124
